Vivado Simulator 2019.2
Time resolution is 1 ps
[54012500000 ns] anode=10111 seg=10100100 anode_off=111
[54762500000 ns] anode=11111 seg=10100100 anode_off=111
[54842500000 ns] anode=11111 seg=10110000 anode_off=111
[55012500000 ns] anode=01111 seg=10110000 anode_off=111
[55675500000 ns] anode=11111 seg=11111000 anode_off=111
[55676500000 ns] anode=11110 seg=11111000 anode_off=111
[55762500000 ns] anode=11111 seg=11111000 anode_off=111
[56011500000 ns] anode=11111 seg=11111111 anode_off=111
[58012500000 ns] anode=11111 seg=11000000 anode_off=111
[58013500000 ns] anode=11110 seg=11000000 anode_off=111
[58845500000 ns] anode=11111 seg=11000000 anode_off=111
[58846500000 ns] anode=11101 seg=11000000 anode_off=111
[59008500000 ns] anode=11111 seg=11000000 anode_off=111
[59012500000 ns] anode=11101 seg=11000000 anode_off=111
[59678500000 ns] anode=11111 seg=11111000 anode_off=111
[59679500000 ns] anode=11011 seg=11111000 anode_off=111
[60008500000 ns] anode=11111 seg=11111000 anode_off=111
[60012500000 ns] anode=11011 seg=11111000 anode_off=111
[60511500000 ns] anode=11111 seg=10100100 anode_off=111
[60512500000 ns] anode=10111 seg=10100100 anode_off=111
[61008500000 ns] anode=11111 seg=10100100 anode_off=111
[61012500000 ns] anode=10111 seg=10100100 anode_off=111
[61344500000 ns] anode=11111 seg=10110000 anode_off=111
[61345500000 ns] anode=01111 seg=10110000 anode_off=111
[62008500000 ns] anode=11111 seg=10110000 anode_off=111
[62012500000 ns] anode=01111 seg=10110000 anode_off=111
[63008500000 ns] anode=11111 seg=10110000 anode_off=111
[63012500000 ns] anode=01111 seg=10110000 anode_off=111
[64008500000 ns] anode=11111 seg=10110000 anode_off=111
[64012500000 ns] anode=01111 seg=10110000 anode_off=111
[65008500000 ns] anode=11111 seg=10110000 anode_off=111
[65012500000 ns] anode=01111 seg=10110000 anode_off=111
[66008500000 ns] anode=11111 seg=10110000 anode_off=111
[66012500000 ns] anode=01111 seg=10110000 anode_off=111
[67008500000 ns] anode=11111 seg=10110000 anode_off=111
[67012500000 ns] anode=01111 seg=10110000 anode_off=111
[68008500000 ns] anode=11111 seg=10110000 anode_off=111
[68012500000 ns] anode=01111 seg=10110000 anode_off=111
[69008500000 ns] anode=11111 seg=10110000 anode_off=111
[69012500000 ns] anode=01111 seg=10110000 anode_off=111
[70008500000 ns] anode=11111 seg=10110000 anode_off=111
[70012500000 ns] anode=01111 seg=10110000 anode_off=111
[71008500000 ns] anode=11111 seg=10110000 anode_off=111
[71012500000 ns] anode=01111 seg=10110000 anode_off=111
[72008500000 ns] anode=11111 seg=10110000 anode_off=111
